.
Kolom APS FM rotatie (LVC 1060).
+	Aantal	Enh	Art.groep	Artikelsymbool	Omschrijving	Alternatief Nummer	Code hoofdsoort	Code soort	Totaal variabelekosten	Totaal vastekosten		
	1,00	ST	DRFR	090116_00KOL	Motorplaat Z-motor versneld	="0000000175999"	MAAK	KOLOM	50,40	0,00	50,40	
	1,00	ST	DRFR	130253_00KOL	Kolom APS FM (LVC 1060)	="0000000292061"	MAAK	KOLOM	138,10	0,00	138,10	
+	1,00	ST	HF	090000_00KOL	Glijwagenmodule PLM TM	="0000000170734"	MAAK	KOLOM	305,82	0,00	305,82	
+	1,00	ST	HF	090125_00KOL	Z-motormodule PLM TM versneld	="0000000177696"	MAAK	KOLOM	413,05	0,00	413,05	
+	1,00	ST	HFKAB	130272_00KOL	Kabel Z-beweging APS FM rotatie (LVC 1060)	="0000000292023"	MAAK	KOLOM	100,78	0,00	100,78	
+	1,00	ST	HFKAB	130273_00KOL	Kabel Z-encoder APS FM rotatie (LVC 1060)	="0000000292030"	MAAK	KOLOM	21,13	0,00	21,13	
+	1,00	ST	HFKAB	130274_00KOL	Kabel Z-motor APS FM rotatie (LVC 1060)	="0000000292047"	MAAK	KOLOM	29,69	0,00	29,69	
	1,00	ST	KOGEL	HOE-012x032MM-3201-2RS1	Hoekcontact 012x 032mm -3201-2RS1	0MEC100032012	MECHCO	LAG	28,03	0,00	28,03	
	2,00	ST	KOGEL	LAG-012x028MM-6001-2RS1	Kogellager 012x 028mm -6001-2RS1	0MEC100060012	MECHCO	LAG	5,82	0,00	5,82	
	1,00	ST	MECHA	KOP-ELA-D30-10/06-SK/K	Mechanische aandrijving koppeling ROTEX-D10X10-D06X11	="0000000176002"	MECHCO	AANDR	26,19	0,00	26,19	
	2,00	ST	MICSW	OMR-VOL-V165-1C5	Micro-switch Omron volledig V165-1C5	0SWI601900006	ELCOM	SCHAK	5,45	0,00	5,45	
	7,00	ST	SPANB	SPA-WIT-100	Spanband wit 100 mm	0FAS100025098	ELCOM	MONT	0,05	0,00	0,05	
	7,00	ST	SPANB	TBH-WIT-19X19-ZVK-SPANBANDSTEUN	Toebehoren spanband wit 19x19 mm - zelfklevende spanbandsteun	0FAS110200200	ELCOM	MONT	0,42	0,00	0,42	
